,Ticker,Shares
1,MON,8407.123353320703
2,MRK,394.1256537167639
3,BMY,630.0359749243764
4,LMT,40.61069197355665
5,LLY,54.17337580254952
6,MO,307.98075790509426
7,AIG,106.39316545559566
8,MS,254.7110137525285
9,C,132.46033770677502
10,ABBV,142.4527537850013
11,AXP,47.17471780326746
12,PFE,300.82159903630446
13,CL,88.28910949638527
14,PEP,163.33192424061818
15,KO,162.1291784487259
16,JPM,77.67505525631958
17,CSCO,366.77402404837125
18,ACN,40.53743689253763
19,T,3092.1017175999223
20,MSFT,36.38365477678755
21,BAC,158.53545350381424
22,SO,116.47204899454547
23,BLK,9.157908114143693
24,CVS,180.27764504283164
25,PG,43.62139618772481
