AAPL
ABBV
ABT
ACN
AIG
AMZN
AXP
BA
BAC
BIIB
BK
BLK
BMY
C
CAT
MNSO
CL
CMCSA
COF
COP
COST
CSCO
CVS
GM
GOOG
JPM
KMI
KO
LLY
LMT
MO
SNOW
MRK
MS
MSFT
NEE
NKE
ORCL
OXY
PCLN
PEP
PFE
PG
PM
PYPL
QCOM
RTN
SBUX
SLB
SO
SPG
T
TD.TO
TGT
TXN
UNH
UNP
UPS
USB
QQQQQ
