,Ticker,Shares
1,ABBV,117.77465913444718
2,ABT,107.03645352994253
3,BMY,177.5822794652318
4,CL,157.179932699193
5,COST,26.12468324068711
6,CSCO,237.4043791782638
7,CVS,135.617714318772
8,KMI,938.9417332592169
9,KO,251.8912115483916
10,LLY,38.33851131040584
11,LMT,24.414128517616216
12,MO,276.3944752728954
13,MON,12117.133998225565
14,MRK,287.76333527004226
15,ORCL,174.36979822477858
16,PEP,69.01562183872605
17,PFE,247.26574406764055
18,PG,89.57420553543265
19,PM,176.24920211390352
20,SO,248.67059988506722
21,T,1262.8065003316958
22,UNH,20.922303716872776
23,UNP,55.06837356018429
24,UPS,232.6613231033554
25,USB,241.35189006480098
